CODGEO	REG	DEP	ARR	CV	ZE1990	EPCI	LIBGEO	PSDC99	PSDC90	SUPERF	NAIS9099	DEC9099	MENP99	LOG99	RS99	RNETFF06	NBFF06	NBFFI06	MEDRFUC06	EMPTOT99	EMPSA99	EMPTOT90	DEFMT07	ETTOT06	ETIND06	ETCOS06	ETCOM06	ETSER06	ETTEF106	ETTEFP1006
69208	82	69	691	6903	8211	246900625	Saint-Germain-sur-l'Arbresle	1123	942	6.52	109	67	401	460	50	17760496	607	418	21233	527	475	476	16	42	5	7	5	25	12	6
69209	82	69	692	6923	8202	246900682	Saint-Igny-de-Vers	553	503	27.35	45	107	232	357	92	5612482	359	142	15696	174	122	128	7	35	6	7	2	20	19	4
69210	82	69	692	6923	8202	246900682	Saint-Jacques-des-Arrêts	112	130	7.47	4	12	51	89	29	775644	55	15	12300	24	8	48	0	4	0	1	0	3	2	0
69211	82	69	692	6905	8202	246900641	Saint-Jean-d'Ardières	2275	2189	12.44	252	112	831	880	23	29141209	1396	807	16230	1006	890	848	87	186	28	26	72	60	49	36
69212	82	69	692	6902	8211	246900591	Saint-Jean-des-Vignes	381	324	2.57	50	15	136	146	8	6042328	199	125	22252	60	36	56	5	17	2	3	1	11	10	0
69213	82	69	691	6908	8211	246900740	Saint-Jean-de-Touslas	616	549	5.57	69	30	215	232	15	9466854	377	256	19546	76	56	84	10	27	4	7	2	14	14	1
69214	82	69	692	6930	8201	246900583	Saint-Jean-la-Bussière	862	847	15.48	93	56	313	384	34	10028617	488	261	15545	351	279	344	17	44	11	9	9	15	13	6
69215	82	69	692	6953	8202	246900674	Saint-Julien	768	641	6.89	82	36	273	321	35	9528804	386	245	18060	165	81	120	17	41	7	9	11	14	19	1
69216	82	69	691	6903	8211	246900625	Saint-Julien-sur-Bibost	507	404	13.28	39	29	195	255	38	5231133	293	143	15951	100	48	72	10	21	2	7	3	9	9	1
69217	82	69	692	6901	8201	246900583	Saint-Just-d'Avray	631	594	17.5	70	58	253	402	124	7249231	390	198	15629	233	185	232	13	34	8	6	6	14	15	6
69218	82	69	692	6905	8202	246900641	Saint-Lager	874	805	7.74	121	57	319	365	22	11425213	486	257	15743	401	301	372	6	56	10	11	15	20	29	3
69219	82	69	691	6924	8211	246900740	Saint-Laurent-d'Agny	1768	1439	10.55	171	70	597	660	38	29086236	909	641	22755	409	331	340	32	86	10	23	14	39	29	11
69220	82	69	691	6927	8211	246900690	Saint-Laurent-de-Chamousset	1703	1558	17.25	213	165	624	712	52	18529257	968	472	15895	924	760	876	28	141	12	22	19	88	47	29
69221	82	69	691	6931	8211	246900724	Saint-Laurent-de-Vaux	215	180	2.64	19	7	70	79	7	2805153	111	76	18958	32	16	48		8	1	3	1	3	3	0
69222	82	69	692	6906	8211	246900732	Saint-Laurent-d'Oingt	726	653	9.05	79	44	261	322	52	9571572	394	213	16989	152	68	136	17	38	3	6	8	21	16	2
69223	82	69	692	6929	8211	246900708	Saint-Loup	864	807	9.65	79	49	302	344	32	12984485	470	314	19728	222	190	184	12	37	3	8	8	18	10	4
69224	82	69	692	6923	8202	246900682	Saint-Mamert	59	60	3.21	5	6	29	50	13					40	32	16		8	1	0	0	7	3	0
69225	82	69	692	6929	8211	246900708	Saint-Marcel-l'Éclairé	508	471	11.88	44	20	179	197	11	6165529	261	165	17257	76	48	68		20	3	4	3	10	7	3
69227	82	69	691	6928	8211	246900773	Saint-Martin-en-Haut	3429	3081	38.64	394	326	1240	1386	94	41629565	1991	995	16106	1119	747	968	42	240	26	38	59	117	97	21
69228	82	69	691	6924	8211	246900740	Saint-Maurice-sur-Dargoire	2100	1916	16.27	249	94	719	774	33	24874369	1052	649	18626	481	361	456	37	101	9	21	22	49	37	4
69229	82	69	692	6909	8202	246900617	Saint-Nizier-d'Azergues	641	580	24.23	67	61	260	413	129	7546595	389	220	16443	160	112	176	17	38	4	6	6	22	18	3
69230	82	69	692	6906	8211	246900732	Sainte-Paule	245	205	7.5	21	18	93	115	18	2731192	155	76	14456	64	16	52		12	1	4	2	5	4	0
69231	82	69	691	6903	8211	246900625	Saint-Pierre-la-Palud	1983	1804	7.53	242	113	724	794	43	27262514	1154	758	19329	473	401	376	43	103	21	17	18	47	36	6
69233	82	69	691	6925	8211	246900245	Saint-Romain-au-Mont-d'Or	948	904	2.62	88	44	356	371	7	18430621	529	367	24504	180	155	128	20	78	2	8	12	56	20	5
69234	82	69	692	6929	8211	246900708	Saint-Romain-de-Popey	1203	1010	17.02	131	58	432	552	84	19803661	731	430	17794	237	129	192	23	70	17	10	12	31	22	10
69235	82	69	691	6907	8214	243800455	Saint-Romain-en-Gal	1380	1341	13.39	123	99	570	613	18	21601285	897	576	18855	635	543	708	29	101	5	21	35	40	42	14
69236	82	69	691	6908	8211	246900633	Saint-Romain-en-Gier	512	511	4.05	47	24	182	202	5	5318444	257	151	16684	208	192	156	12	17	1	2	5	9	6	3
69237	82	69	691	6924	8211	246900740	Saint-Sorlin	687	532	4.7	61	191	191	202	10	8790850	341	180	22375	145	125	100	8	24	2	3	4	15	8	1
69238	82	69	691	6928	8211	246900773	Saint-Symphorien-sur-Coise	3069	3211	4.07	325	350	1262	1418	51	35946863	1934	929	15160	1899	1669	1852	51	282	39	24	65	154	118	40
69239	82	69	692	6906	8211	246900732	Saint-Vérand	993	760	17.58	99	63	370	476	83	11552337	552	312	17321	172	92	160	21	52	4	11	11	26	21	3
69240	82	69	692	6901	8201	246900583	Saint-Vincent-de-Reins	650	711	13.87	78	71	264	446	119	7070330	389	191	15531	371	311	464	12	44	3	4	12	25	11	3
69241	82	69	691	6924	8211	246900740	Taluyers	1870	1511	8.09	237	89	645	690	22	30115014	1027	703	22430	411	303	248	24	137	17	33	26	61	64	15
69242	82	69	692	6905	8202	246900641	Taponas	572	466	7.64	48	24	204	224	9	8157495	367	231	16270	160	120	80	14	26	2	6	3	15	13	1
69243	82	69	692	6929	8211	246900708	Tarare	10420	10720	13.99	1388	1238	4351	5067	112	98085893	6243	2586	13670	5621	5211	5772	436	708	95	66	183	364	288	82
